Order_ID,Order_Date,Product,Category,Region,Sales_Representative,Quantity,Cost_Amount,Sales_Amount
100000,2024-05-10,Smartphone,Electronics,West,Anjali,2,60568,72980.76
100001,2024-11-10,Tablet,Electronics,South,Karan,3,75351,89013.82
100002,2022-05-02,Laptop,Electronics,West,Rahul,3,114744,150358.57
100003,2023-04-12,Camera,Electronics,North,Rahul,3,13134,14789.09
100004,2022-11-27,Smartwatch,Wearables,West,Priya,3,7347,9255.25
100005,2022-03-29,Headphones,Accessories,West,Sneha,5,101720,138999.77
100006,2024-05-21,Camera,Electronics,South,Vikram,4,85524,127179.74
100007,2022-05-11,Smartwatch,Wearables,North,Priya,3,66342,84271.68
100008,2024-02-09,Smartphone,Electronics,North,Priya,2,48656,57418.44
100009,2022-12-10,Camera,Electronics,East,Amit,3,31374,44768.97
100010,2024-03-16,Smartwatch,Wearables,North,Vikram,5,45985,64272.31
100011,2023-01-21,Smartphone,Electronics,East,Neha,2,44248,63888.87
100012,2024-08-13,Smartphone,Electronics,South,Neha,3,47979,56897.7
100013,2022-10-04,Smartphone,Electronics,West,Vikram,4,86796,109530.73
100014,2023-04-05,Smartphone,Electronics,North,Sneha,2,1512,2256.84
100015,2022-01-22,Keyboard,Accessories,East,Priya,2,69976,81397.27
100016,2022-09-10,Smartphone,Electronics,North,Anjali,4,123972,169665.64
100017,2024-01-18,Tablet,Electronics,South,Rahul,2,48462,57905.97
100018,2024-05-06,Camera,Electronics,East,Neha,3,22728,29547.85
100019,2023-04-20,Smartwatch,Wearables,East,Anjali,2,3142,4462.28
100020,2024-12-18,Tablet,Electronics,East,Vikram,3,104670,135593.12
100021,2023-05-26,Keyboard,Accessories,South,Anjali,4,10264,14597.39
100022,2023-12-01,Mouse,Accessories,East,Vikram,1,26145,33218.11
100023,2024-09-02,Mouse,Accessories,West,Karan,4,136660,204954.63
100024,2022-07-09,Tablet,Electronics,South,Amit,3,89736,114353.39
100025,2024-08-15,Laptop,Electronics,West,Rahul,5,161675,187502.87
100026,2023-11-18,Laptop,Electronics,West,Amit,4,156196,196923.76
100027,2024-08-15,Laptop,Electronics,South,Karan,5,135390,189144.88
100028,2023-07-17,Headphones,Accessories,North,Neha,5,51915,74714.78
100029,2024-04-11,Laptop,Electronics,West,Amit,3,68151,87508.7
100030,2023-10-09,Smartwatch,Wearables,South,Sneha,3,33621,44977.86
100031,2022-01-21,Tablet,Electronics,West,Amit,1,13640,19613.72
100032,2024-04-20,Smartwatch,Wearables,East,Amit,2,23186,33049.75
100033,2022-06-16,Camera,Electronics,West,Anjali,4,68000,92690.09
100034,2023-01-23,Laptop,Electronics,West,Vikram,3,117159,167070.0
100035,2023-08-24,Keyboard,Accessories,West,Karan,4,28028,37287.45
100036,2022-11-12,Headphones,Accessories,East,Vikram,5,165430,182280.58
100037,2022-01-14,Camera,Electronics,West,Rahul,2,12660,14134.97
100038,2022-08-30,Keyboard,Accessories,South,Anjali,1,31108,46410.75
100039,2024-02-16,Headphones,Accessories,West,Vikram,4,151316,175223.45
